g,Level (eV)
3,16.87069000
3,16.87069000
3,16.87240000
5,16.87426000
7,16.87907000
5,16.87907000
3,16.87907000
3,16.87907000
5,16.88311000
7,16.88595000
5,16.88595000
3,16.88595000
3,16.88595000
5,16.89188000
5,16.90000000
3,16.90000000
3,16.90560000
5,17.10090000
5,17.10319000
3,17.10319000
1,17.10319000
7,17.10517000
5,17.10517000
3,17.10517000
3,17.10750000
5,17.68641000
3,17.68641000
1,17.68641000
3,17.69790000
5,17.77430000
5,17.77480000
3,17.77480000
1,17.77480000
7,17.77480000
5,17.77480000
3,17.77480000
3,17.77740000
5,18.04175000
3,18.04175000
1,18.04175000
3,18.05500000
5,18.08530000
5,18.08564000
3,18.08564000
1,18.08564000
7,18.08564000
5,18.08564000
3,18.08564000
3,18.08770000
5,18.22924000
3,18.22924000
1,18.22924000
3,18.23270000
5,18.25410000
5,18.25421000
3,18.25421000
1,18.25421000
7,18.25421000
5,18.25421000
3,18.25421000
3,18.25500000
5,18.33988000
3,18.33988000
1,18.33988000
3,18.34250000
5,18.35520000
5,18.35558000
3,18.35558000
1,18.35558000
7,18.35558000
5,18.35558000
3,18.35558000
3,18.35690000
5,18.41110000
3,18.41110000
1,18.41110000
3,18.41230000
5,18.42119000
3,18.42119000
1,18.42119000
7,18.42119000
5,18.42119000
3,18.42119000
5,18.42130000
3,18.42180000
5,18.45913000
3,18.45913000
1,18.45913000
3,18.46010000
5,18.46630000
5,18.46688000
3,18.46688000
1,18.46688000
7,18.46688000
5,18.46688000
3,18.46688000
3,18.46700000
5,18.49337000
3,18.49337000
1,18.49337000
3,18.49450000
5,18.49852000
3,18.49852000
1,18.49852000
7,18.49852000
5,18.49852000
3,18.49852000
5,18.49880000
5,18.51821000
3,18.51821000
1,18.51821000
5,18.52207000
3,18.52207000
1,18.52207000
7,18.52207000
5,18.52207000
3,18.52207000
5,18.52220000
5,18.53742000
3,18.53742000
1,18.53742000
5,18.54052000
3,18.54052000
1,18.54052000
7,18.54052000
5,18.54052000
3,18.54052000
5,18.55198000
3,18.55198000
1,18.55198000
5,18.55451000
3,18.55451000
1,18.55451000
7,18.55451000
5,18.55451000
3,18.55451000
5,18.56600000
3,18.56600000
1,18.56600000
7,18.56600000
5,18.56600000
3,18.56600000
5,18.57477000
3,18.57477000
1,18.57477000
7,18.57477000
5,18.57477000
3,18.57477000
5,18.58817000
3,18.58817000
1,18.58817000
7,18.58817000
5,18.58817000
3,18.58817000
5,18.59286000
3,18.59286000
1,18.59286000
7,18.59286000
5,18.59286000
3,18.59286000
5,18.59773000
3,18.59773000
1,18.59773000
7,18.59773000
5,18.59773000
3,18.59773000
