g,Level (eV)
7,16.35114000
3,16.39853000
7,16.40627000
3,16.43706000
7,16.44433000
3,16.46565000
7,16.47228000
3,16.48645000
7,16.49286000
3,16.50202000
7,16.50933000
7,16.52164000
