g,Level (eV)
5,15.63256000
3,15.63432800
1,15.63621800
9,15.63879200
7,15.64116800
5,15.64186800
3,15.64731000
5,15.64214700
7,15.64224600
5,15.64410200
3,15.64447000
1,15.64715100
3,15.64823400
3,15.64823000
5,15.64823000
5,15.64823000
7,15.64823000
5,15.65341000
5,15.65392000
1,15.65550000
1,15.65689400
3,15.65829300
7,15.65856300
9,15.65856500
7,15.65858100
5,15.65860000
9,15.65867500
7,15.65985300
11,15.65936400
13,15.65936400
9,15.65939400
11,15.65939400
5,15.65952200
3,15.66344000
5,15.66082300
7,15.66118800
5,15.66276800
3,15.66317000
3,15.66482000
5,15.66482000
5,15.66490000
7,15.66490000
5,15.66995000
5,15.67036000
3,15.67320700
9,15.67405400
7,15.67482800
5,15.67416900
3,15.67754000
5,15.67558300
7,15.67599200
3,15.67754000
3,15.67889000
5,15.67889000
5,15.67895000
7,15.67895000
5,15.68311000
5,15.68358000
1,15.68499800
3,15.68519800
5,15.68582000
3,15.68884000
9,15.68615200
7,15.68693300
1,15.68700000
7,15.68773000
3,15.68891000
5,15.69003000
5,15.69008000
5,15.69329000
3,15.69495000
3,15.69792000
3,15.69812000
5,15.69905000
5,15.69905000
5,15.70166000
3,15.70278000
3,15.70533000
3,15.70562000
5,15.70638000
5,15.70638000
3,15.70897000
3,15.71130000
3,15.71184000
5,15.71255000
5,15.71255000
3,15.71347000
3,15.71605000
3,15.71682000
3,15.71727000
3,15.71754000
3,15.72035000
3,15.72148000
3,15.72159000
3,15.72415000
3,15.72526000
3,15.72526000
3,15.72747000
3,15.72845000
3,15.73035000
3,15.73121000
3,15.73285000
3,15.73364000
3,15.73507000
3,15.73576000
3,15.73703000
3,15.73765000
3,15.73876000
3,15.73931000
3,15.74028000
3,15.74080000
3,15.74165000
3,15.74212000
3,15.74289000
3,15.74333000
3,15.74401000
3,15.74438000
3,15.74503000
3,15.74535000
3,15.74596000
3,15.74624000
3,15.74680000
3,15.74703000
3,15.74757000
